Year,Male,Female
Jammu & Kashmir,3060628,1746658
Himachal Pradesh,2278386,1763235
Punjab,8442293,6314677
Chandigarh,382686,260559
Uttrakhand,3008875,2096907
Haryana,7480209,4613468
Delhi,5700847,3963917
Rajasthan,18047157,9654853
Uttar Pradesh,48901413,26817871
Bihar,20644376,10465201
Sikkim,189060,129275
Arunachal Pradesh,303281,181504
Nagaland,640201,492122
Manipur,753466,557068
Mizoram,350105,311340
Tripura,1150707,871392
Meghalaya,614272,543603
Assam,8188697,5826657
West Bengal,27452426,19743975
Jharkhand,7646857,4130344
Orrisa,11992333,7844722
Chhattishgarh,6711395,4461754
Madhya Pradesh,19672274,11920289
Gujarat,17833273,11994477
Daman & Diu,70992,36608
Dadra & Nagar Haveli,72149,31755
Maharashtra,37184963,26780980
Andhra Pradesh,23444788,16489535
Karnataka,17661211,12773751
Goa,541032,444530
Lakshadweep,24511,20172
Kerela,12753602,12732086
Tamilnadu,22809662,17714883
Pondicherry,378758,317609
Andaman & Nicobar Islands,146831,106304
